key,title,description,time,calories,tags,ingredients,steps
"grilled cheese","Gourmet Grilled Cheese","The ultimate comfort sandwich with a blend of Gruyère and sharp Cheddar on sourdough.","10 mins","520","Comfort Food | Quick | Vegetarian","2 slices Sourdough | 50g Gruyère, grated | 50g Aged Cheddar, grated | 2 tbsp Salted butter","Step 1: The Grate. Grating the cheese ensures an even, superior melt. | Step 2: The Buttering. Butter the bread from edge to edge on the outside. | Step 3: The Low & Slow. Place in a medium-low heat pan. Cover with a lid for 2 mins to trap heat. | Step 4: The Flip. Flip once the bottom is golden brown. Cook until both sides are crispy and cheese is molten."
"caesar salad","Tableside Caesar Salad","Crisp Romaine hearts tossed in a creamy, whisked dressing with anchovies and Parmigiano.","15 mins","340","Salad | Healthy-ish | Classic","Romaine hearts | 2 Anchovy fillets | 1 Egg yolk | Garlic, Dijon mustard | Lemon juice | Parmigiano-Reggiano","Step 1: The Sauce. Mash anchovies and garlic. Whisk with yolk, mustard, and lemon. Slowly drizzle oil until thick. | Step 2: The Crunch. Tear bread into chunks and toast with garlic oil for croutons. | Step 3: The Toss. Coat whole Romaine leaves in the dressing. Top with shavings of Parmigiano."
"cacio e pepe","Roman Cacio e Pepe","A minimalist masterpiece using only pasta, Pecorino Romano, and toasted black pepper.","15 mins","420","Italian | Quick | Vegetarian","200g Tonnarelli or Spaghetti | 1.5 cups Pecorino Romano, finely grated | 2 tbsp Black peppercorns, toasted and crushed","Step 1: The Pepper Toast. Toast crushed peppercorns in a dry pan until fragrant. | Step 2: The Pasta Water. Boil pasta in minimal water to maximize starch concentration. | Step 3: The Paste. Mix Pecorino with a ladle of warm pasta water until it forms a thick paste. | Step 4: The Mixing. Toss pasta with pepper and the cheese paste. Vigorously stir while adding more water until a creamy sauce forms."
"steak frites","Bistro-Style Steak Frites","Pan-seared Ribeye served with a mountain of crispy fries and garlic and herb butter.","30 mins","890","French | Protein-Heavy | Indulgent","10oz Ribeye steak | 2 Russet potatoes | 2 tbsp Butter | Garlic, Thyme, Parsley","Step 1: The Fries. Cut into thin strips potatoes and double-fry until light and crispy. | Step 2: The Sear. Sear steak in a cast-iron pan for 3 mins per side for medium-rare. | Step 3: The Basting. Spoon over the butter, garlic, and thyme during the final minute. | Step 4: The Rest. Let steak rest for 5 mins. Top with a disc of Garlic and herb butter."
"omelette","Classic French Omelette","A smooth, pale-gold omelette with a creamy, slightly runny interior.","10 mins","280","Breakfast | Quick | Protein","3 Large eggs | 1 tbsp Unsalted butter | Pinch of salt | Fresh chives","Step 1: The Whisk. Beat eggs until perfectly smooth, no streaks of white. | Step 2: The Heat. Melt butter in a non-stick pan over medium heat until foaming but not browned. | Step 3: The Agitation. Pour in eggs and stir rapidly with a fork while shaking the pan. | Step 4: The Fold. Once the bottom is set but the top is still Soft and moist, fold the omelette into a cigar shape. | Step 5: Plating. Slide onto a plate and brush with a little extra butter for a glossy finish."
"scrambled eggs","Silky French Scrambled Eggs","Soft, small curds with a custard-like consistency, cooked low and slow.","15 mins","240","Breakfast | Vegetarian | Creamy","4 Eggs | 2 tbsp Cold butter | 1 tbsp Heavy cream | Chives","Step 1: The Cold Start. Crack eggs into a cold saucepan with half the butter. | Step 2: The Constant Motion. Cook over medium heat, stirring constantly with a spatula. | Step 3: The Temperature Control. Pull the pan off the heat every 30 seconds to prevent overcooking. | Step 4: The Finish. Once thick and creamy, stir in the remaining butter and cream to stop the cooking."
"salmon","Pan-Seared Atlantic Salmon","Crispy skin-on salmon fillet with a tender, medium-rare center.","15 mins","420","High Protein | Healthy Fats | Quick","6oz Salmon fillet, skin-on | 1 tbsp Olive oil | Lemon wedge | Fresh dill","Step 1: The Prep. Pat the salmon skin bone-dry with a paper towel. Season with salt. | Step 2: The Sear. Place skin-side down in a hot pan with oil. Press firmly for 30 seconds. | Step 3: The Cooking. Cook for 5-6 mins on skin side only until skin is ultra-crispy. | Step 4: The Flip. Flip gently and cook for only 1 more minute. | Step 5: Plating. Serve skin-side up with a squeeze of fresh lemon."
"eggs benedict","Artisanal Eggs Benedict","Perfectly poached eggs on toasted English muffins with Canadian bacon and rich Hollandaise sauce.","30 mins","580","Breakfast | Indulgent | Technique","2 Eggs | 1 English muffin | 2 slices Canadian bacon | Hollandaise sauce (Yolks, Butter, Lemon)","Step 1: The Poach. Simmer water with a drop of vinegar. Whirlpool the water and drop in eggs for 3 minutes. | Step 2: The Hollandaise. Whisk until smooth and thick warmed butter into egg yolks and lemon juice. | Step 3: The Assembly. Toast the muffin, top with seared bacon and the poached egg. | Step 4: The Glaze. Generously ladle Hollandaise over the top. Garnish with cayenne or chives."
"avocado toast","Smashed Avocado & Poached Egg Toast","Creamy Hass avocado on sourdough, topped with a runny poached egg and chili flakes.","15 mins","380","Healthy | Modern | Vegan-Option","1 thick slice Sourdough | 1 Ripe Avocado | 1 Egg | Red pepper flakes | Lemon juice","Step 1: The Toast. Grill sourdough until charred and crispy. | Step 2: The Smash. Mash avocado with lemon juice, salt, and olive oil. | Step 3: The Egg. Poach an egg for exactly 3 minutes in simmering water. | Step 4: The Assembly. Spread avocado thick on toast, top with egg, chili flakes, and a drizzle of EVOO."
"teriyaki salmon","Glazed Teriyaki Salmon","Sweet and savory Japanese-style salmon glazed with ginger and soy.","20 mins","450","Japanese-Fusion | Savory | Quick","Salmon fillet | Soy sauce | Mirin | Sake | Brown sugar | Grated ginger","Step 1: The Sauce. Simmer soy, mirin, sake, and sugar until thickened into a syrup. | Step 2: The Bake/Sear. Pan-sear salmon for 3 mins, then pour sauce over. | Step 3: The Glaze. Baste the salmon repeatedly as the sauce caramelizes. | Step 4: Plating. Garnish with toasted sesame seeds and sliced scallions."
"peking duck","Imperial Peking Duck","The crown jewel of Chinese cuisine, known for its ultra-crisp skin and succulent meat.","180 mins","820","Chinese | Royal | Crispy","Whole Duck | Maltose syrup | Hoisin sauce | Spring onions, Cucumbers | Thin Mandarin pancakes","Step 1: The Prep. Separate skin from meat by blowing air under it. | Step 2: The Glaze. Coat with maltose syrup and air-dry for 24 hours. | Step 3: The Roast. Roast until skin is dark and crackling. | Step 4: Plating. Slice skin first, serve with pancakes, hoisin, and cut into thin strips vegetables."
"mapo tofu","Szechuan Mapo Tofu","Silken tofu set in a spicy, numbing sauce of fermented beans, chili oil, and Szechuan peppercorns.","20 mins","320","Chinese | Spicy | Umami","Soft Tofu | Ground pork | Doubanjiang (Chili bean paste) | Szechuan peppercorns | Chili oil","Step 1: The Infusion. Toast peppercorns and grind. Sauté pork until crispy. | Step 2: The Sauce. Add Doubanjiang and chili oil. Simmer with broth. | Step 3: The Tofu. Gently fold in silken tofu cubes. | Step 4: The Finish. Thicken with cornstarch slurry and top with peppercorn powder."
"boeuf bourguignon","Julia's Beef Bourguignon","A rich French stew of beef braised in red Burgundy wine, flavored with garlic, onions, and bouquet garni.","150 mins","640","French | Slow-Cook | Classic","Beef chuck | Red Burgundy wine | Bacon lardons | Pearl onions | Carrots | Thyme, Bay leaf","Step 1: The Sear. Brown beef in bacon fat in a Dutch oven. | Step 2: The Deglaze. Add wine and scrape the bottom for 'fond'. | Step 3: The Simmer. Cook on low heat for 2.5 hours until beef falls apart. | Step 4: The Garnish. Sauté pearl onions and mushrooms separately and add at the end."
"ceviche","Peruvian Sea Bass Ceviche","Fresh raw fish cured in 'Leche de Tigre' (citrus juice) with chilies and onions.","15 mins","280","Peruvian | Fresh | Healthy","Sea bass fillets | Lime juice | Aji Amarillo paste | Red onion, thinly sliced | Sweet potato, Cilantro","Step 1: The Cure. Toss chilled fish cubes in lime juice and aji paste for exactly 5 minutes. | Step 2: The Marriage. Add sliced onions and cilantro. | Step 3: Plating. Serve immediately with a side of boiled sweet potato and toasted corn (Cancha)."
"enchiladas","Enchiladas Verdes","Corn tortillas stuffed with chicken and smothered in a vibrant tomatillo salsa and melted cheese.","35 mins","520","Mexican | Tangy | Cheesy","Corn tortillas | Shredded chicken | Tomatillos | Serrano peppers | Crema Mexicana | Queso Fresco","Step 1: The Salsa. Roast tomatillos and peppers, then blend with cilantro and garlic. | Step 2: The Roll. Lightly fry tortillas, fill with chicken, and roll tightly. | Step 3: The Smother. Pour green salsa over rolls and top with cheese. | Step 4: The Bake. Bake until cheese is bubbly. Top with crema and onions."
